<table style='border-collapse:collapse;'>
<thead><tr style='border-bottom: 1pt solid #bbb;'><th>Character Key</th><th>Character Name</th><th>Character Type</th></tr></thead><tbody>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Garrick</span></td><td>Garrick Ollivander</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Robes</span></td><td>Robes</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Argus</span></td><td>Argus Filch</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Weasley</span></td><td>Weasley jumper</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Firenze</span></td><td>Firenze</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Golden</span></td><td>Golden Snitch</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Ronan</span></td><td>Ronan</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Weasley</span></td><td>Weasley family</td><td>Family</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Severus</span></td><td>Severus Snape</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Dudley</span></td><td>Dudley Dursley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Quirinus</span></td><td>Quirinus Quirrell's turban</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Dedalus</span></td><td>Dedalus Diggle</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Filius</span></td><td>Filius Flitwick</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Fluffy</span></td><td>Fluffy</td><td>Pet individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Vernon</span></td><td>Vernon Dursley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Fang</span></td><td>Fang</td><td>Pet individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Minerva</span></td><td>Minerva McGonagall</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Quill</span></td><td>Quill</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Peeves</span></td><td>Peeves</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Lily</span></td><td>Lily J. Potter</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Charles</span></td><td>Charles Weasley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Tom</span></td><td>Tom Marvolo Riddle</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Sorting</span></td><td>Sorting Hat</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Hermione</span></td><td>Hermione Jean Granger</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Rolanda</span></td><td>Rolanda Hooch</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>MrsNorris</span></td><td>Mrs Norris</td><td>Pet individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Mirror</span></td><td>The Mirror of Erised</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Marcus</span></td><td>Marcus Flint</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Norberta</span></td><td>Norberta</td><td>Pet individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Sirius</span></td><td>Sirius Black's motorbike</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Arabella</span></td><td>Arabella Doreen Figg</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Dursley</span></td><td>Dursley family</td><td>Family</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Marjorie</span></td><td>Marjorie Eileen Dursley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Draco</span></td><td>Draco Lucius Malfoy</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Molly</span></td><td>Molly Weasley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Wand</span></td><td>Wand</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Hogwarts</span></td><td>Hogwarts Express</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Piers</span></td><td>Piers Polkiss</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Hogwarts</span></td><td>Hogwarts express ticket</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Potter</span></td><td>Potter family</td><td>Family</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Galleon</span></td><td>Galleon or Gold-Galleon</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Poppy</span></td><td>Poppy Pomfrey</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>James</span></td><td>James Potter</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Boa</span></td><td>Boa constrictor at the zoo</td><td>Pet individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Gregory</span></td><td>Gregory Goyle</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Oliver</span></td><td>Oliver Wood</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Remembrall</span></td><td>Remembrall</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Nicolas</span></td><td>Nicolas Flamel</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Pomona</span></td><td>Pomona Sprout</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Vincent</span></td><td>Vincent Crabbe</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Cornelius</span></td><td>Cornelius Oswald Fudge</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Bane</span></td><td>Bane</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Broomstick</span></td><td>Broomstick</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Irma</span></td><td>Irma Pince</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Sickle</span></td><td>Sickle or Silver-Sickle</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Quirinus</span></td><td>Quirinus Quirrell</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Ronald</span></td><td>Ronald Bilius Weasley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Philosopher's</span></td><td>Philosopher's Stone</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Rubeus</span></td><td>Rubeus Hagrid</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Sirius</span></td><td>Sirius Black</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Harry</span></td><td>Harry James Potter</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Fat</span></td><td>The Fat Lady</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Neville</span></td><td>Neville Longbottom</td><td>Individual</td></tr>
